open,high,low,close,volume,hour,day_of_week,SMA_50,SMA_200,EMA_9,EMA_21,BB_upper,BB_lower,bollinger_bandwidth,RSI,MACD,MACD_Signal,MACD_Hist,stochastic_oscillator,stochastic_signal,ADX,ATR,VWAP,OBV,lag_1,lag_2,lag_3,lag_4,Bullish,Bearish,Doji,Engulfing,target,Upper_Band,Lower_Band
97197.46,97197.46,97094.41,97111.07,13.093781,13,6,1.768891825156005,1.6628327103901284,1.6683901301270476,1.7282962077983364,97341.9371959634,97047.7238040367,-0.7093160354482964,-0.6971806695805193,-0.1974863076324593,-0.1711518809253421,-0.11773130806522498,0.3958764610310791,53.17051345490005,-0.34540928360892953,-1.6920068571374005,1.6239624248774227,0.871105693584852,97197.46,97180.28,97124.78,97048.13,0,1,0,1,0,1.5975257867572183,1.7434884867627285
97111.07,97183.98,97061.71,97140.13,26.121872,13,6,1.7688098087336137,1.6598116531137947,1.665571382335747,1.7215344114765812,97329.09307606434,97045.38692393572,-0.7459746065956068,-0.3540891617676426,-0.18267163894893548,-0.1751080190971784,-0.06460883272272008,0.2178672028544414,57.91229244055483,-0.2636072846993286,-1.5489119117709795,1.6208986123602727,0.9201999245547694,97111.07,97197.46,97180.28,97124.78,1,0,0,0,0,1.5728564940870144,1.739530749621058
97140.13,97140.13,97071.35,97071.35,25.04254,13,6,1.7645309056598673,1.6556187634560278,1.6377050063565706,1.703557026668328,97306.56842571404,97041.30657428603,-0.8103387429855647,-0.9243715773833732,-0.23404541295040185,-0.18950030963261086,-0.17469314441844178,-0.32983556667448255,50.879955483838295,-0.18764828571184206,-1.5408756620787796,1.61739997113126,0.873134222570111,97140.13,97111.07,97197.46,97180.28,0,1,0,1,0,1.5295941145458207,1.7326202745618478
97071.35,97071.35,96921.49,96927.97,73.413457,13,6,1.7547531052292926,1.6495874425697694,1.5620219762153047,1.6625523034706837,97315.60336637923,96995.83963362084,-0.619535374244389,-1.7724827870887265,-0.40990217729159995,-0.2394464113821591,-0.549727611078612,-0.7762348526684583,39.841666558135124,0.04113351849858241,-1.3441848848815654,1.6037580362183461,0.7351587660538972,97071.35,97140.13,97111.07,97197.46,0,1,0,0,0,1.546947237680158,1.655617521442016
96927.97,97027.97,96880.25,96904.76,96.08227,13,6,1.7427836437337367,1.6434420686086213,1.4928329223045549,1.621283116068876,97324.60504941733,96951.48495058276,-0.43267507516084597,-1.8813731940180254,-0.5633511144289878,-0.31293848775259897,-0.7980990720384439,-1.2935763657342676,25.607736205292564,0.2852340013951519,-1.1665378875785835,1.585563115815127,0.5545788613864994,96927.97,97071.35,97140.13,97111.07,0,1,0,0,0,1.5642364840871543,1.5804984863092917
96904.76,96925.98,96781.25,96858.21,77.461416,13,6,1.7260086274151136,1.636426635188946,1.4201480119168615,1.575758980090867,97336.10337750171,96902.12962249834,-0.2194946106723512,-2.0897563859338915,-0.7204009077691325,-0.4060542858284358,-1.0050971898871772,-1.3981329459756637,15.547108862588843,0.5754623857845371,-1.008558172544682,1.5700453897629851,0.4089955491200255,96904.76,96927.97,97071.35,97140.13,0,1,0,0,0,1.5863209570818928,1.4969103651896114
96858.21,96898.86,96807.98,96846.34,45.26872,13,6,1.709175136424956,1.6294159689719188,1.357580091547268,1.5323317382437243,97340.00956403164,96859.34243596849,-0.055778446716259686,-2.1414169220561274,-0.8444476729084185,-0.5076564796372707,-1.0946147630785545,-1.2511431664088808,11.07468792524682,0.8449601712889659,-0.9875405369621844,1.5609453917296328,0.32391615682407815,96858.21,96904.76,96927.97,97071.35,0,1,0,0,1,1.5938234453196065,1.4244460402234143
96846.34,96846.34,96700.0,96785.9,97.462525,14,6,1.6876500023095207,1.621494767047351,1.2850199153130293,1.4824566268721378,97339.54208857652,96811.81391142355,0.10937701950979734,-2.3901902517598406,-0.9888896501131984,-0.6205050213815537,-1.2132453108542884,-1.142720657148009,12.495362632507314,1.1512423217552916,-0.8385888487236955,1.539818378911056,0.1407421594451249,96846.34,96858.21,96904.76,96927.97,0,1,0,0,1,1.5929255801573747,1.3439517911193088
96785.9,96894.94,96684.86,96894.94,81.782033,14,6,1.6700832996914519,1.6149097310751406,1.2675746331427,1.455870714111836,97319.33613930656,96796.04886069353,0.09417087104839525,-1.1790019269621108,-0.981339400233618,-0.7091338003255551,-0.9577664883523225,-0.8907544205720189,17.273569866447833,1.330053323667962,-0.5515169777403085,1.525322234634952,0.2944457690980399,96785.9,96846.34,96858.21,96904.76,1,0,0,0,0,1.554116655897114,1.3172521212221457
96894.94,96959.31,96829.77,96845.07,36.926988,14,6,1.650245197819908,1.6080223824966526,1.2350484828905997,1.423123963001394,97308.37660793585,96771.36839206424,0.14255588298671698,-1.4353586072572593,-1.0107450320327784,-0.786463219218783,-0.8385767496004715,-0.7153901263494475,22.318992412821967,1.3704834800179129,-0.47291850682309333,1.5182919078762218,0.22504407851876712,96894.94,96785.9,96846.34,96858.21,0,1,0,0,0,1.533067032551939,1.2754533107549488
96845.07,96845.07,96732.56,96780.68,37.195911,14,6,1.6297027419504875,1.6008911870049058,1.185050874508149,1.3822789807813507,97304.96226232694,96736.24373767312,0.2539959513314285,-1.7333084883920764,-1.0830193217144413,-0.8641217962610958,-0.8420488288705533,-0.6992499338231117,26.49535170305029,1.4773684154555244,-0.43967967524086415,1.5105221607775419,0.15513696597451707,96845.07,96894.94,96785.9,96846.34,0,1,0,0,1,1.5265092075444562,1.215966240499694
96780.68,96850.5,96718.52,96820.35,38.479083,14,6,1.6108226374571526,1.5936420707078114,1.1598245725534029,1.3519704979203198,97291.8315071351,96714.57749286498,0.2842544712036236,-1.3398241920124967,-1.0859334885635767,-0.9268855287347597,-0.6849326183144389,-0.8604009400730255,26.781203809187772,1.5857325096888708,-0.3633749894545861,1.5030378342057005,0.22745571052362992,96780.68,96845.07,96894.94,96785.9,1,0,0,0,0,1.5012893836020962,1.1792723157288192
96820.35,96882.23,96770.52,96834.17,23.743347,14,6,1.594594776993455,1.5861286894785032,1.1447896380040223,1.3267943992593276,97275.41917409122,96698.60582590886,0.2830480963545714,-1.2040290993012215,-1.0598413001274571,-0.9713942489128093,-0.49237214261943185,-0.8839502894244876,25.193798449612093,1.6264467219691316,-0.3398277747023789,1.4985576507491298,0.27207967015473516,96820.35,96780.68,96845.07,96894.94,1,0,0,0,0,1.469766737491742,1.152222720757066
96834.17,96916.49,96743.17,96816.59,70.998223,14,6,1.5777058489770708,1.5784464773173479,1.1262154847702162,1.3008832417612664,97260.23823386231,96681.9587661378,0.2885175275303262,-1.3014975558149269,-1.0421362057663124,-1.0031319001680663,-0.3576582861134328,-0.7877674785563379,24.3601897109717,1.6014837121387393,-0.17417401498079524,1.4849300836922612,0.1386434769747171,96834.17,96820.35,96780.68,96845.07,0,1,0,1,1,1.440609188400235,1.1240292813687915
96816.59,96868.23,96766.17,96824.01,38.912843,14,6,1.5610246199562814,1.5707050798854842,1.1141191226785918,1.2786038988415633,97241.38643963623,96669.82556036384,0.26529344832243745,-1.220970139958804,-1.0066693109931064,-1.020770978685979,-0.2089414389834062,-0.7515628692778958,25.38516580113573,1.57830377443909,-0.18666280654138012,1.477650150606927,0.2117774430985131,96816.59,96834.17,96820.35,96780.68,1,0,1,0,1,1.4044011466756101,1.103480499487719
96824.01,96909.72,96787.7,96907.97,32.669695,14,6,1.5486917801448605,1.5634842969626572,1.135705936401111,1.272791238265795,97224.55768599256,96667.45831400753,0.21480081931982353,-0.38531279513007166,-0.8825753633285287,-1.0077623747403195,0.11434140621921345,-0.4959503966759092,29.03913182743631,1.4791131237862802,-0.15167589867846237,1.472432985652591,0.2731778493192754,96824.01,96816.59,96834.17,96820.35,1,0,0,0,1,1.3720786947643586,1.0994713340293465
96907.97,97033.92,96887.24,96985.35,48.690536,14,6,1.5392158457133642,1.556974007130212,1.1817891182601166,1.2808165157821347,97218.14030672304,96667.59769327704,0.19188033638151758,0.24459289246020202,-0.6969159626662037,-0.9567809244637947,0.5148927306749889,0.11815904303000656,37.570641227481865,1.1966933648208173,-0.061635318513334675,1.4658830385046022,0.36468830540117797,96907.97,96824.01,96816.59,96834.17,1,0,0,0,0,1.3597530385130987,1.0997073865595297
96985.35,96985.35,96915.48,96970.09,37.602659,14,6,1.527724433642761,1.550005346264905,1.2129733487661396,1.2854874721654976,97197.93647207384,96672.33252792624,0.10460865661678365,0.12546304635867198,-0.5560529071749636,-0.8852111259244083,0.732066078524417,0.7533242692139069,51.74282678792719,0.9344464457814592,-0.15728921486684758,1.4607029039495831,0.29401673844651843,96985.35,96907.97,96824.01,96816.59,0,1,0,0,1,1.3209481757697934,1.107726296575571
96970.09,96976.32,96930.04,96976.32,29.30721,14,6,1.5159816564257784,1.543505130521075,1.2402405773605278,1.2908053685816636,97163.61801491572,96686.25498508436,-0.06432990269250843,0.17668907130324024,-0.4308019926057323,-0.8005825732852456,0.8698145423828145,1.1602814281941565,67.34029197504923,0.6909314495306268,-0.3011662078689013,1.4567531638339535,0.3490975893451016,96970.09,96985.35,96907.97,96824.01,1,0,0,0,1,1.2550338065001991,1.1313053523986898
96976.32,97066.32,96944.51,97056.33,47.660654,15,6,1.5092825094801738,1.5380644030809703,1.2918474153896773,1.3094016995203492,97130.87936043732,96704.88063956276,-0.2443041922738279,0.7865038757179486,-0.24680350538005563,-0.6926681451013385,1.1154423841645469,1.3919161981294885,79.33582459625724,0.5547926115213567,-0.2584905940926383,1.4515361158167284,0.43867245425728396,96976.32,96970.09,96985.35,96907.97,1,0,0,0,0,1.1921537140332257,1.1628497372209654
97056.33,97062.76,97016.48,97039.15,19.765371,15,6,1.50391119322488,1.5342617944105255,1.3267356268761235,1.3233524606383449,97116.25877577902,96712.30922422108,-0.32156155467608244,0.6307254038202635,-0.11425548338559377,-0.577369156812972,1.1933373964212437,1.52362950468949,86.5901285610605,0.4283779762270345,-0.3951389171500264,1.4492879675098511,0.40152482222386354,97056.33,96976.32,96970.09,96985.35,0,1,0,0,0,1.1640724220101077,1.1754307788265503
97039.15,97074.86,96923.53,96935.2,44.899729,15,6,1.4945317040308752,1.528590981981813,1.3159386834640903,1.3181553633246517,97077.99168844378,96730.08331155629,-0.5179342642149997,-0.1974018275436236,-0.10868304724788791,-0.48391214912973707,0.9629402809695228,1.2958158399264295,87.86651586198501,0.2369400122196826,-0.2768557196058181,1.4428265488934524,0.31713892269825916,97039.15,97056.33,96976.32,96970.09,0,1,0,0,1,1.0905740443389416,1.2055329506390926
96935.2,97021.27,96911.56,96973.78,30.802184,15,6,1.4847220083249861,1.5239470969632298,1.321667033844172,1.320066566385321,97058.96816544542,96739.34983455464,-0.6170839984641098,0.10668721523011127,-0.06277944775170774,-0.3991146314711932,0.8715968465511712,0.9920380784372116,84.10068733645151,0.07504800764153861,-0.2641561523876375,1.4387869148833663,0.3750294726432974,96935.2,97039.15,97056.33,96976.32,1,0,0,0,1,1.0540361687513764,1.2212267222179574
96973.78,97056.09,96949.86,97046.47,39.807553,15,6,1.4780790578169352,1.520309991177493,1.3533170454707897,1.3343068487582,97077.050968514,96733.11703148604,-0.5318846623215958,0.6237566334200324,0.04767460412546514,-0.3071376546762779,0.9473283795759213,0.9820745792716498,79.00062587809747,-0.11820716551461281,-0.2604854945702694,1.434466241854138,0.4498449836192806,96973.78,96935.2,97039.15,97056.33,1,0,0,0,0,1.0887672334873866,1.2106708548729697
97046.47,97092.32,97038.37,97070.27,17.957728,15,6,1.4710336193101132,1.51667846211937,1.3874993808895215,1.3513462074966123,97099.78901639792,96726.92998360215,-0.4305642816203442,0.7803041554116862,0.15946366927240133,-0.20912535273330407,1.0109911732604469,1.3349822038047556,79.3694727918719,-0.24675369719387796,-0.37909069643396265,1.4326565828355422,0.48359527709468525,97046.47,96973.78,96935.2,97039.15,1,0,0,0,0,1.1324394789407641,1.200192478410567
97070.27,97070.27,96983.53,96997.89,26.201092,15,6,1.4605674125193882,1.5122186091128198,1.387893351561472,1.3543870291959899,97108.44359878628,96732.2434012138,-0.41894382773505506,0.20561137980034916,0.17663501861807854,-0.12696283254223006,0.8438019397291671,1.3505618642591493,82.74584932572553,-0.3955657546403324,-0.41269716178438126,1.4294711893748961,0.4343521576769017,97070.27,97046.47,96973.78,96935.2,0,1,0,1,1,1.1490620601800179,1.2091912756869827
96997.89,97007.44,96947.63,96972.87,32.771897,15,6,1.4488572899891023,1.5069757655566232,1.3788919146763983,1.3528479226343597,97112.890438758,96740.44956124204,-0.4322098448364037,0.022070731085173826,0.16595844064034868,-0.06356610804184785,0.64585353594403,1.0409171513587527,83.29999576577555,-0.48506525748051016,-0.5067537416192224,1.425273644924859,0.3727596699470658,96997.89,97070.27,97046.47,96973.78,0,1,0,0,1,1.1576029642585133,1.2230892179615058
