2025-01-27 23:34:41,059 - bot.scheduler - INFO - WebSocket thread started.
2025-01-27 23:34:41,064 - bot.scheduler - INFO - Signal-sending job scheduled.
2025-01-27 23:34:42,517 - bot.scheduler - INFO - WebSocket connection established.
2025-01-27 23:34:43,439 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738017000000, 'end': 1738017299999, 'interval': '5', 'open': '101418.8', 'close': '101497.6', 'high': '101546.6', 'low': '101381.8', 'volume': '114.501', 'turnover': '11617197.1081', 'confirm': False, 'timestamp': 1738017281560}]
2025-01-28 23:18:28,620 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '101037.4', 'high': '101080', 'low': '100731', 'volume': '538.462', 'turnover': '54354452.164', 'confirm': False, 'timestamp': 1738102708559}]
2025-01-28 23:18:29,649 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '101037.3', 'high': '101080', 'low': '100731', 'volume': '538.627', 'turnover': '54371123.3346', 'confirm': False, 'timestamp': 1738102709560}]
2025-01-28 23:18:30,622 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '101037.3', 'high': '101080', 'low': '100731', 'volume': '539.679', 'turnover': '54477414.5789', 'confirm': False, 'timestamp': 1738102710559}]
2025-01-28 23:18:31,612 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '101037.4', 'high': '101080', 'low': '100731', 'volume': '539.971', 'turnover': '54506917.4996', 'confirm': False, 'timestamp': 1738102711559}]
2025-01-28 23:18:32,654 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '101037.3', 'high': '101080', 'low': '100731', 'volume': '540.096', 'turnover': '54519547.163', 'confirm': False, 'timestamp': 1738102712560}]
2025-01-28 23:18:33,670 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '101028.1', 'high': '101080', 'low': '100731', 'volume': '541.072', 'turnover': '54618157.2854', 'confirm': False, 'timestamp': 1738102713559}]
2025-01-28 23:18:34,857 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '101028.1', 'high': '101080', 'low': '100731', 'volume': '541.448', 'turnover': '54656143.8507', 'confirm': False, 'timestamp': 1738102714559}]
2025-01-28 23:18:35,646 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '101017', 'high': '101080', 'low': '100731', 'volume': '542.91', 'turnover': '54803840.6222', 'confirm': False, 'timestamp': 1738102715560}]
2025-01-28 23:18:36,666 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '101000.1', 'high': '101080', 'low': '100731', 'volume': '544.214', 'turnover': '54935547.9853', 'confirm': False, 'timestamp': 1738102716559}]
2025-01-28 23:18:37,613 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100951.7', 'high': '101080', 'low': '100731', 'volume': '554.317', 'turnover': '55955708.4519', 'confirm': False, 'timestamp': 1738102717559}]
2025-01-28 23:18:38,611 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100973.6', 'high': '101080', 'low': '100731', 'volume': '555.401', 'turnover': '56065150.0198', 'confirm': False, 'timestamp': 1738102718559}]
2025-01-28 23:18:39,642 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100967.5', 'high': '101080', 'low': '100731', 'volume': '555.505', 'turnover': '56075650.9496', 'confirm': False, 'timestamp': 1738102719560}]
2025-01-28 23:18:40,688 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100967.5', 'high': '101080', 'low': '100731', 'volume': '555.745', 'turnover': '56099883.1532', 'confirm': False, 'timestamp': 1738102720560}]
2025-01-28 23:18:41,643 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100967.6', 'high': '101080', 'low': '100731', 'volume': '555.877', 'turnover': '56113210.8653', 'confirm': False, 'timestamp': 1738102721559}]
2025-01-28 23:18:42,851 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100967.6', 'high': '101080', 'low': '100731', 'volume': '556.023', 'turnover': '56127952.1347', 'confirm': False, 'timestamp': 1738102722561}]
2025-01-28 23:18:43,616 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100967.6', 'high': '101080', 'low': '100731', 'volume': '556.092', 'turnover': '56134918.8991', 'confirm': False, 'timestamp': 1738102723560}]
2025-01-28 23:18:44,644 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100967.6', 'high': '101080', 'low': '100731', 'volume': '556.175', 'turnover': '56143299.2047', 'confirm': False, 'timestamp': 1738102724559}]
2025-01-28 23:18:45,612 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100967.5', 'high': '101080', 'low': '100731', 'volume': '556.179', 'turnover': '56143703.0747', 'confirm': False, 'timestamp': 1738102725559}]
2025-01-28 23:18:46,614 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100965.2', 'high': '101080', 'low': '100731', 'volume': '556.348', 'turnover': '56160766.8333', 'confirm': False, 'timestamp': 1738102726559}]
2025-01-28 23:18:47,662 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100941', 'high': '101080', 'low': '100731', 'volume': '556.405', 'turnover': '56166521.1667', 'confirm': False, 'timestamp': 1738102727560}]
2025-01-28 23:18:48,930 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100940', 'high': '101080', 'low': '100731', 'volume': '556.411', 'turnover': '56167126.8067', 'confirm': False, 'timestamp': 1738102728560}]
